# Det2
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-43.6284 48.7175 -50 0.0543155 0.0426547 0.402643 52.8826 22 12304565 1001 1 1 0.280752 0.280752 4 
1680.22 -491.761 -50 0.0574926 -0.0182641 0.507426 51.6284 22 12385598 1003 1002 1 0.0385415 0.0385415 2 
1386.61 -1501.26 -50 0.124874 -0.137242 1.33841 51.3263 22 12413879 1001 1 1 0.149979 0.149979 2 
-1563.73 160.767 -50 -0.0838247 -0.00473229 0.855762 53.1318 22 12500721 1006 1 1 0.726852 0.726852 7 
952.657 1488.76 -50 0.0357198 0.0523551 0.555258 51.3815 22 12807762 1001 1 1 0.205201 0.205201 2 
-867.089 1676.76 -50 -0.0582739 0.103382 0.783537 52.1722 22 12898993 1001 1 1 0.351428 0.351428 3 
95.5622 -1140.3 -50 0.0184869 -0.0441021 0.705894 51.424 22 12900494 1001 1 1 0 0 1 
1542.55 -374.448 -50 0.0906235 -0.0243486 0.80048 51.3062 22 12928636 1019 1 1 0 0 1 
-704.26 -1098.62 -50 -0.110995 -0.0471917 0.43486 54.1492 22 13087726 1001 1 1 0 0 1 
-624.711 1523.51 -50 -0.0251304 0.0540769 0.545801 51.0641 22 13167083 1001 1 1 0.127794 0.127794 2 
432.933 -1045.62 -50 0.0443805 -0.0905403 1.53181 51.2087 22 13534811 1001 1 1 1.33366 1.33366 5 
1809.48 626.619 -50 0.150551 0.0488327 1.24571 51.4357 22 13623787 1001 1 1 0 0 1 
887.261 263.961 -50 0.0763513 0.0141414 0.996827 51.5072 22 13645615 1001 1 1 0.621683 0.621683 4 
-346.694 1601.28 -50 -0.018063 0.169146 1.3571 51.9343 22 13678506 1001 1 1 0 0 1 
593.908 1133.95 -50 0.0277151 0.0530444 0.608424 51.4397 22 13690977 1001 1 1 0 0 1 
1059 -390.846 -50 0.0590065 -0.014648 0.809105 51.2532 22 13724322 1001 1 1 0.191886 0.191886 2 
-32.1482 395.748 -50 -0.00317074 0.0194267 0.644847 51.0816 22 13728674 1001 1 1 0 0 1 
-5.40074 1375.64 -50 0.000849303 0.0945403 0.983938 51.0056 22 13736770 1001 1 1 0.748524 0.748524 2 
769.754 218.981 -50 -0.000617455 -0.00237127 0.0750154 52.0628 22 13800368 1001 1 1 0.0162718 0.0162718 3 
-52.8136 -1507.47 -50 0.00266394 -0.0401975 0.276592 51.9734 22 13903746 1001 1 1 0.0547007 0.0547007 3 
-678.981 219.956 -50 -0.0362992 0.0126889 0.696631 51.1402 22 13940875 1001 1 1 0.562626 0.562626 5 
1390.16 1332.98 -50 0.125951 0.119412 1.36798 51.2904 22 14030030 1001 1 1 0 0 1 
1786.69 -1390.22 -50 0.0598113 -0.0427921 0.482815 51.5386 22 14042790 1010 1 1 0 0 1 
-1529.73 1357.62 -50 -0.112163 0.12674 1.18266 52.259 22 14055568 1001 1 1 1.14436 1.14436 13 
-909.595 -759.038 -50 -0.106596 -0.0692222 1.5887 51.0333 22 14142591 1001 1 1 0 0 1 
-714.245 1950.9 -50 -0.0600476 0.144834 1.21903 51.5392 22 14170556 1001 1 1 0 0 1 
697.628 865.432 -50 0.0346745 0.0409912 0.70718 51.0107 22 14241380 1001 1 1 0 0 1 
1640.25 1066.69 -50 0.0330238 0.0617196 0.284274 54.6775 22 14440946 1001 1 1 0 0 1 
-1027.11 1150.76 -50 -0.0622287 0.0748576 1.06584 51.5061 22 14537484 1001 1 1 0.536682 0.536682 3 
990.923 -1087.09 -50 0.0505469 -0.0729747 0.995758 51.3695 22 14543694 1001 1 1 0 0 1 
-1071.41 -518.298 -50 -0.0820626 -0.0395864 1.46765 51.5374 22 14587513 1001 1 1 0.604683 0.604683 2 
