# Det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-984.815 -148.615 -50 -0.297823 -0.0413662 1.22891 20.1247 22 103193 1001 1 1 0 0 1 
-1579.23 -139.22 -50 -0.89212 -0.0890806 2.7651 18.6017 22 103763 1001 1 1 2.46724 2.46724 3 
1245.12 1497.23 -50 0.327166 0.279513 1.03683 19.3823 22 105210 1001 1 1 0.634424 0.634424 4 
-1877.25 215.973 -50 -0.135507 0.0340316 0.371199 19.6851 22 109673 1001 1 1 0.337216 0.337216 8 
1409.64 -1908.15 -50 0.282734 -0.370502 0.876968 19.8637 22 113696 1001 1 1 0 0 1 
-330.63 -1344.13 -50 -0.03704 -0.131663 0.459393 18.2207 22 124432 1001 1 1 0 0 1 
-420.374 -1983.46 -50 -0.0926875 -0.389169 0.939289 18.8418 22 129325 1001 1 1 0.862695 0.862695 4 
-1129 -584.51 -50 -0.429529 -0.202963 1.79805 18.0056 22 134850 1028 1 1 0.011597 0.011597 2 
1487.98 -820.359 -50 0.110784 -0.0376931 0.33652 19.6923 22 138343 1001 1 1 0.274274 0.274274 5 
1979.27 241.747 -50 0.243716 0.0254686 0.64219 20.2174 22 140861 1001 1 1 0.179812 0.179812 2 
-1322.99 1958.07 -50 -0.119774 0.143046 0.364175 19.9085 22 144955 1001 1 1 0.190246 0.190246 4 
516.285 1828.63 -50 0.0698208 0.210254 0.58574 18.5156 22 145738 1012 1 1 0.111057 0.111057 2 
-19.1826 -107.327 -50 0.0233168 -0.0760962 1.07363 18.6306 22 145883 1001 1 1 0 0 1 
-238.74 -190.822 -50 -0.0178829 0.0143715 1.31837 18.1827 22 150076 1001 1 1 0 0 1 
597.095 -422.853 -50 0.0689886 -0.0829122 0.808179 17.7775 22 154762 1001 1 1 0 0 1 
815.767 -1452.89 -50 0.138979 -0.26039 0.975688 18.7183 22 160121 1001 1 1 0.356954 0.356954 2 
-652.172 307.468 -50 -0.10838 0.0601175 0.824867 17.6132 22 161834 1012 1 1 0.782219 0.782219 10 
949.753 1446.88 -50 0.129301 0.194936 0.693855 18.4325 22 162261 1014 1 1 0.653174 0.653174 5 
-876.458 1979.07 -50 -0.151467 0.434494 0.927834 19.6553 22 164614 1001 1 1 0 0 1 
-1252.79 -846.807 -50 -0.0982309 -0.0695309 0.348677 18.5867 22 164894 1001 1 1 0 0 1 
1707.48 -787.139 -50 0.207325 -0.078278 0.554433 19.0862 22 168787 1001 1 1 0 0 1 
-48.4463 100.841 -50 -0.0681075 0.0707367 1.14264 18.1523 22 175602 1001 1 1 0 0 1 
-1407.21 -205.381 -50 -0.38152 -0.00730598 1.3041 18.3009 22 176945 1001 1 1 0 0 1 
-738.429 -336.266 -50 -0.0651036 -0.0440984 0.466434 17.8417 22 177215 1001 1 1 0.354959 0.354959 6 
-83.6918 -158.696 -50 -0.0223929 -0.011638 0.334288 18.1797 22 185189 1001 1 1 0.0571464 0.0571464 2 
694.187 -928.469 -50 0.225082 -0.383444 1.57173 18.6639 22 195661 1001 1 1 1.43733 1.43733 4 
-309.982 235.28 -50 -0.0367324 0.0227938 0.732304 17.7592 22 195691 1001 1 1 0 0 1 
1227.28 664.686 -50 0.256629 0.146991 1.11132 18.1915 22 196488 1001 1 1 0 0 1 
-1203.96 -26.5873 -50 -0.0912649 0.00138247 0.401515 18.0335 22 196829 1001 1 1 0.310978 0.310978 4 
772.44 -751.25 -50 0.049846 -0.0489997 0.280527 18.1312 22 199913 1009 1 1 0.22257 0.22257 7 
209.111 223.57 -50 -0.00378557 0.0643849 0.670882 18.3918 22 200881 1001 1 1 0.467323 0.467323 6 
199.571 -851.378 -50 0.0228892 -0.051817 0.371739 17.9504 22 201022 1001 1 1 0.297476 0.297476 9 
-1575.59 -1231.18 -50 -0.202095 -0.15699 0.637003 18.8594 22 202580 1012 1 1 0 0 1 
-1557.39 -244.204 -50 -0.262586 -0.0305666 0.894326 18.4828 22 203661 1001 1 1 0 0 1 
1988.72 -423.941 -50 0.645163 -0.164342 1.6294 18.8913 22 205367 1001 1 1 0.10603 0.10603 2 
1579.4 -871.904 -50 0.139239 -0.091008 0.493092 18.7576 22 207389 1001 1 1 0.520366 0.520366 15 
-1880.33 678.149 -50 -0.198491 0.0550897 0.54134 19.2689 22 215951 1001 1 1 0.360418 0.360418 3 
1104.59 -709.103 -50 0.143007 -0.101833 0.723551 18.0592 22 219151 1001 1 1 0.256362 0.256362 2 
1452.55 598.472 -50 0.188955 0.0750782 0.70281 18.7022 22 230843 1001 1 1 0 0 1 
-822.953 -1117.94 -50 -0.0385982 -0.0480453 0.183727 19.1315 22 237571 1042 1041 1 0 0 1 
-1242.17 -1439.58 -50 -0.256663 -0.286977 1.00838 18.5632 22 241640 1001 1 1 0.394914 0.394914 2 
-1255.92 806.683 -50 -0.112739 0.0502058 0.386771 20.3377 22 243103 1001 1 1 0.125246 0.125246 4 
1883.54 1775.47 -50 0.560502 0.553058 1.43091 19.6248 22 244557 1001 1 1 0 0 1 
357.985 1192.2 -50 0.0251499 0.130476 0.560127 18.1323 22 245853 1011 1 1 0.227508 0.227508 3 
811.99 1671.18 -50 0.119846 0.235683 0.662651 18.6255 22 252511 1001 1 1 0 0 1 
-1229.02 806.948 -50 -0.219557 0.144707 0.818568 18.2541 22 252553 1010 1 1 0 0 1 
1595.4 1798.96 -50 0.474656 0.498149 1.50848 19.4788 22 254607 1001 1 1 0 0 1 
464.249 611.644 -50 0.0478112 0.0398924 0.43953 17.9055 22 254938 1001 1 1 0 0 1 
231.702 340.717 -50 0.010594 0.0749894 0.606903 18.2177 22 258700 1014 1 1 0.191288 0.191288 2 
-37.5733 1681.58 -50 -0.00255309 0.416281 1.25487 18.6287 22 259252 1001 1 1 0 0 1 
-1885.07 177.377 -50 -0.202026 0.0213921 0.511902 18.7466 22 260084 1001 1 1 0.418021 0.418021 4 
111.298 -183.378 -50 -0.00922527 -0.0288766 0.354772 19.2731 22 264051 1001 1 1 0 0 1 
-1578.02 427.55 -50 -0.27528 0.0641341 0.732859 19.2509 22 267797 1001 1 1 0 0 1 
1145.94 -1730.32 -50 0.13004 -0.241269 0.599872 19.3934 22 267820 1001 1 1 0.239833 0.239833 2 
1078.74 -93.4385 -50 0.179062 0.0237925 0.752005 18.2787 22 269122 1001 1 1 0.270597 0.270597 2 
-349.835 -267.422 -50 -0.111343 -0.0597251 1.74634 17.7337 22 269389 1001 1 1 0.547582 0.547582 2 
1052.65 -1997.77 -50 0.143064 -0.3149 0.834787 19.664 22 270250 1001 1 1 0 0 1 
-1174.57 1491.88 -50 -0.205322 0.247691 0.782552 18.783 22 270489 1001 1 1 0.0280361 0.0280361 2 
-1352.7 1930.19 -50 -0.13751 0.192816 0.516711 20.8846 22 273307 1001 1 1 0 0 1 
1618.58 105.657 -50 0.252452 0.0463883 0.782878 18.5438 22 274806 1001 1 1 0.128022 0.128022 2 
1860.83 1196.4 -50 0.108949 0.0820945 0.284349 19.4727 22 278245 1001 1 1 0.055944 0.055944 2 
-832.342 -694.965 -50 -0.0884323 -0.060699 0.492889 18.0707 22 280057 1001 1 1 0.395902 0.395902 6 
-943.472 -1522.36 -50 -0.0668346 -0.116673 0.432658 18.6733 22 280621 1018 1 1 0.408928 0.408928 12 
323.15 -1111.42 -50 0.090292 -0.307345 1.31012 17.8942 22 283498 1015 1 1 0.585661 0.585661 2 
318.082 -1126.68 -50 0.0375486 -0.116193 0.435362 19.7178 22 284261 1001 1 1 0.276808 0.276808 3 
-1107.74 579.011 -50 -0.335954 0.0934016 1.20524 19.0918 22 286322 1001 1 1 1.17365 1.17365 7 
854.222 -753.761 -50 0.0722704 -0.0547117 0.328575 18.3003 22 288947 1026 1025 1 0.18986 0.18986 2 
176.563 -1382.74 -50 0.0114846 -0.173371 0.581899 18.2835 22 290476 1009 1 1 0.356101 0.356101 3 
-1431.43 -648.911 -50 -0.239322 -0.168871 0.924259 19.0945 22 290504 1001 1 1 0 0 1 
-758.896 1652.07 -50 -0.20989 0.333757 0.997101 19.1503 22 290642 1013 1 1 0.519041 0.519041 3 
-1110 -1918.41 -50 -0.131868 -0.257467 0.57888 19.4645 22 293340 1001 1 1 0 0 1 
-273.629 1675.43 -50 -0.0131276 0.201688 0.521585 18.9426 22 293766 1001 1 1 0.481171 0.481171 6 
-904.127 -116.294 -50 -0.132995 -0.0490205 0.734373 19.1641 22 295038 1001 1 1 0.578346 0.578346 4 
600.755 1997.24 -50 0.0878469 0.289349 0.611307 19.815 22 295096 1001 1 1 0 0 1 
-282.371 1744.78 -50 -0.0688003 0.201535 0.630746 18.9483 22 301430 1001 1 1 0 0 1 
-315.47 -1085.53 -50 -0.0304044 -0.103831 0.507752 18.0555 22 304003 1001 1 1 0 0 1 
-1906.59 -954.38 -50 -0.633569 -0.389443 1.60928 19.413 22 304523 1001 1 1 0.122776 0.122776 2 
-959.448 858.441 -50 -0.145466 0.0937613 0.66332 18.3179 22 308233 1009 1 1 0 0 1 
-302.539 133.417 -50 -0.0762499 0.0194732 1.03973 17.4593 22 309805 1001 1 1 0 0 1 
409.923 721.931 -50 0.179287 0.186121 1.41024 19.6886 22 310229 1001 1 1 0.64286 0.64286 2 
1244.55 -1517.52 -50 0.276454 -0.362092 1.27218 19.078 22 311912 1001 1 1 0 0 1 
813.036 -1293.09 -50 0.123225 -0.163149 0.564729 19.088 22 316664 1001 1 1 0 0 1 
524.66 -814.612 -50 0.190544 -0.249522 1.48937 17.9517 22 318843 1001 1 1 0 0 1 
384.703 518.078 -50 0.133795 0.182866 1.79887 17.7567 22 328025 1001 1 1 0 0 1 
-4.88258 -295.852 -50 -0.00063435 -0.0748605 0.673362 18.3229 22 329239 1010 1 1 0.677483 0.677483 9 
-634.619 -806.125 -50 -0.0643367 -0.0991588 0.580283 18.1344 22 331322 1001 1 1 0.378431 0.378431 3 
-1440.48 -1170.8 -50 -0.200659 -0.150778 0.700463 18.6109 22 332076 1001 1 1 0 0 1 
-783.728 -731.741 -50 -0.13586 -0.139422 0.698384 18.3203 22 332506 1001 1 1 0 0 1 
1155.61 -1541.79 -50 0.208892 -0.221432 0.793827 19.2936 22 333945 1001 1 1 0 0 1 
-1270.97 -324.491 -50 -0.0823366 -0.00976273 0.290464 18.4413 22 339251 1030 1 1 0.0199441 0.0199441 2 
-1882.28 -606.475 -50 -0.275177 -0.0753248 0.769255 18.91 22 342060 1001 1 1 0 0 1 
1192.38 1074.4 -50 0.193041 0.177329 0.956959 18.61 22 343129 1001 1 1 0.827126 0.827126 3 
1395.68 116.646 -50 0.307153 0.0178833 1.00299 18.1087 22 348301 1001 1 1 0 0 1 
1828.71 1446.72 -50 0.214612 0.185984 0.564493 21.9278 22 349004 1001 1 1 0.432198 0.432198 4 
-1782.11 847.901 -50 -0.295271 0.174179 0.77378 19.5939 22 349095 1001 1 1 0 0 1 
-647.029 717.931 -50 -0.076748 0.0856029 0.425593 18.9166 22 349935 1001 1 1 0.26463 0.26463 2 
-1205.8 47.8357 -50 -0.0952357 0.00870886 0.389665 19.0787 22 354639 1001 1 1 0.252986 0.252986 3 
-736.494 543.161 -50 -0.178988 0.133307 1.08728 18.0359 22 356992 1012 1 1 0.0421014 0.0421014 2 
-620.461 701.964 -50 -0.0596226 0.0468545 0.337944 19.8762 22 357018 1001 1 1 0 0 1 
-645.626 1172.38 -50 -0.118939 0.130222 0.655604 19.0893 22 360004 1001 1 1 0 0 1 
-763.483 -1769.18 -50 -0.0800831 -0.228397 0.624991 18.8856 22 362954 1001 1 1 0.338696 0.338696 2 
1819.24 1430.65 -50 0.345381 0.277126 0.895071 19.2872 22 363542 1001 1 1 0.250173 0.250173 2 
1751.65 746.261 -50 0.155573 0.062778 0.410856 18.8164 22 371239 1001 1 1 0.166502 0.166502 3 
-1088.58 1187.62 -50 -0.125129 0.15038 0.613171 19.738 22 374137 1001 1 1 0 0 1 
-487.851 -338.07 -50 -0.0726006 -0.0174794 0.624411 17.8739 22 377592 1001 1 1 0 0 1 
1991.42 -1520.79 -50 0.217563 -0.167825 0.506829 19.7994 22 380908 1001 1 1 0 0 1 
608.188 -1463.38 -50 0.0897203 -0.146254 0.505362 18.9322 22 386416 1001 1 1 0.369804 0.369804 3 
-953.96 -151.877 -50 -0.0720711 -0.0146334 0.352683 17.7722 22 388411 1001 1 1 0 0 1 
100.2 -1853.14 -50 0.0203041 -0.199225 0.530962 18.6658 22 393907 1007 1 1 0 0 1 
683.64 -1437.59 -50 0.0422298 -0.139292 0.451022 18.8594 22 393914 1001 1 1 0.00097429 0.00097429 2 
-1827.39 602.729 -50 -0.430392 0.153705 1.15275 18.6328 22 395422 1001 1 1 1.13706 1.13706 4 
1359.99 1519.4 -50 0.122925 0.124614 0.456233 19.2164 22 398257 1001 1 1 0.0171418 0.0171418 2 
0.802006 -585.598 -50 0.00383169 -0.20865 1.36581 17.7569 22 398452 1006 1 1 0 0 1 
-716.614 1092.34 -50 -0.0796576 0.19452 0.687246 18.8177 22 399494 1001 1 1 0.254195 0.254195 2 
-410.466 771.641 -50 -0.0356229 0.101178 0.518856 19.4256 22 399594 1001 1 1 0 0 1 
-891.527 -1730.68 -50 -0.166176 -0.222232 0.773743 20.7631 22 400400 1001 1 1 0.156028 0.156028 2 
16.174 903.852 -50 0.000470572 0.146017 0.75968 17.8903 22 401254 1001 1 1 0.0114853 0.0114853 2 
-937.08 93.9211 -50 -0.0772476 0.0127304 0.512303 18.2653 22 401690 1001 1 1 0 0 1 
827.117 -1273.06 -50 0.0955474 -0.161041 0.669764 18.416 22 406128 1001 1 1 0 0 1 
302.517 216.903 -50 0.0468844 0.0734864 1.71332 17.7656 22 406711 1001 1 1 0 0 1 
1266.87 544.979 -50 0.251674 0.126862 1.04034 18.3943 22 413284 1001 1 1 0 0 1 
152.12 512.881 -50 0.0585955 0.0778908 1.14502 17.7886 22 416906 1001 1 1 0.643559 0.643559 2 
-1583.08 -683.802 -50 -0.11222 -0.0459885 0.395488 18.5146 22 422764 1001 1 1 0.413607 0.413607 11 
1024.86 164.922 -50 0.0161532 -0.000804844 0.0734914 19.7872 22 424844 1015 1001 1 0 0 1 
92.4019 1502.37 -50 -0.0174096 0.208044 0.573514 19.5315 22 425876 1001 1 1 0.181916 0.181916 2 
-1065.98 -1299.92 -50 -0.271694 -0.419238 1.32169 18.9371 22 425975 1001 1 1 0 0 1 
1312.84 -805.09 -50 0.126272 -0.073044 0.483877 18.3484 22 426998 1001 1 1 0.505344 0.505344 13 
-1103.22 1291.75 -50 -0.171301 0.189407 0.674414 18.6887 22 427006 1001 1 1 0.532637 0.532637 4 
-272.579 638.449 -50 -0.0556029 0.062518 0.526117 18.228 22 430111 1001 1 1 0.346976 0.346976 3 
-1421.72 -1372.93 -50 -0.186824 -0.184402 0.658125 18.6532 22 434135 1001 1 1 0 0 1 
1084.6 132.851 -50 0.240033 0.0486333 1.10171 17.8949 22 442584 1001 1 1 1.05763 1.05763 8 
-1237.34 -1168.2 -50 -0.258259 -0.201192 0.978438 18.7263 22 446322 1001 1 1 0.354566 0.354566 2 
-989.884 -1589.63 -50 -0.0849289 -0.17232 0.496403 18.8614 22 455957 1012 1 1 0.41222 0.41222 6 
349.253 -1954.75 -50 0.0842102 -0.357802 0.978932 19.3222 22 456657 1001 1 1 0.12711 0.12711 2 
-53.0451 1650.06 -50 -0.0390993 0.421599 1.12566 18.7592 22 457447 1001 1 1 0.294314 0.294314 2 
