# mesh name: dosimeterMesh
# primitive scorer name: doseDep
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
9,4,29,6.07010824521726e-12,4.572260251841537e-24,153
9,4,30,7.365554950264184e-13,1.199700637998528e-25,137
9,4,31,1.376446765470976e-12,8.121665472258163e-25,125
9,4,32,1.170772860825854e-12,6.801892211699716e-25,105
9,4,33,1.007842644416038e-12,2.718883477578584e-25,94
9,4,34,1.704543061751939e-12,1.084459571439069e-24,104
9,4,35,2.947756344200509e-12,2.233439093445104e-24,214
9,4,36,3.202967792621313e-13,2.665360100665871e-27,96
9,4,37,3.625214842362669e-14,3.939278215586603e-28,10
9,4,38,0,0,0
9,4,39,0,0,0
9,5,0,4.971306588649196e-16,2.471388919834691e-31,1
9,5,1,0,0,0
9,5,2,9.098885245221106e-14,3.608180418325704e-27,6
9,5,3,2.329567662561786e-13,9.133859837407633e-27,16
9,5,4,6.723933301717147e-13,2.711884534371735e-26,61
9,5,5,6.132296423455266e-12,2.943707505915492e-24,103
9,5,6,1.052718825006651e-11,8.517414259744331e-24,20
9,5,7,1.087118890539332e-11,8.054908090389867e-24,20
9,5,8,1.246187435623845e-11,1.384615810542218e-23,25
9,5,9,1.298258893345568e-11,1.046622740497822e-23,26
9,5,10,1.079785274788387e-11,6.101872153438926e-24,25
9,5,11,1.103222097625442e-11,8.246143809516065e-24,23
9,5,12,1.540700883358316e-11,1.130720046842533e-23,32
9,5,13,1.491256871846855e-11,9.200201960907355e-24,34
9,5,14,1.753835410670553e-11,1.491141338086649e-23,31
9,5,15,2.733112907005677e-11,2.444395050894151e-23,48
9,5,16,4.035654556117783e-11,2.834918087011107e-23,74
9,5,17,5.09512149186566e-11,3.977532415749482e-23,97
9,5,18,7.558631511766881e-11,6.07738027372801e-23,133
9,5,19,9.152011600930449e-11,8.736475620140505e-23,169
9,5,20,1.104022162436984e-10,1.891778258368772e-22,198
9,5,21,1.343043692443823e-10,1.253457139651612e-22,260
9,5,22,1.510925267304296e-10,1.324885587123828e-22,284
9,5,23,1.556642081780135e-10,1.44509540383682e-22,287
9,5,24,1.522176318980762e-10,1.601593642147209e-22,287
9,5,25,1.337319770250804e-10,1.340773400547746e-22,243
9,5,26,1.046426174100482e-10,1.061021487507992e-22,206
9,5,27,6.94096727157381e-11,6.421418883530388e-23,131
9,5,28,2.698813216005902e-11,3.144220506671906e-23,42
9,5,29,1.483365422315877e-11,2.091814692312827e-23,17
9,5,30,7.701357944032824e-12,9.987741648271329e-24,11
9,5,31,5.440975293767928e-12,5.597917705930255e-24,8
9,5,32,1.554682278723461e-12,8.567830741320304e-25,3
9,5,33,4.595504686321461e-13,2.111866332200251e-25,1
9,5,34,2.427433208832108e-12,3.823030076421775e-24,4
9,5,35,1.991612599821991e-12,1.535494790673327e-24,184
9,5,36,3.612200984871977e-13,8.537720241169667e-27,79
9,5,37,2.249726626418064e-14,1.281082459415009e-28,10
9,5,38,0,0,0
9,5,39,4.484769242305232e-14,1.464005638383214e-27,3
9,6,0,1.189317504938966e-14,9.509877542228663e-29,3
9,6,1,0,0,0
9,6,2,8.732955022902491e-14,1.880890262330732e-27,11
9,6,3,2.697557687443572e-13,1.605750357314537e-26,23
9,6,4,8.913360171372662e-13,2.895031590757079e-26,83
9,6,5,3.193250289352965e-12,9.653210123102452e-25,113
9,6,6,5.700143571575937e-12,3.473742371601847e-24,12
9,6,7,9.072595151400594e-12,1.193386665498138e-23,16
9,6,8,7.550227238767179e-12,5.161219767011914e-24,17
9,6,9,1.008427228248971e-11,1.334429445001623e-23,18
9,6,10,1.092831120999577e-11,9.354557833199123e-24,19
9,6,11,1.071230554347208e-11,8.907393584557153e-24,17
9,6,12,1.243398413479543e-11,1.247992119242445e-23,20
9,6,13,8.801217694054284e-12,6.450960713021603e-24,15
9,6,14,1.531733673016623e-11,3.680719749997199e-23,16
9,6,15,7.502838344274387e-12,4.780222111832047e-24,17
9,6,16,1.680832344355286e-11,1.362903130250914e-23,32
9,6,17,2.192255269012601e-11,2.166715188966672e-23,42
9,6,18,3.040094043822046e-11,3.192552749512619e-23,329
9,6,19,6.34907989099395e-11,4.832240014322559e-23,813
9,6,20,1.535180296610861e-10,2.131884428137778e-22,815
9,6,21,3.762502966764324e-10,3.707118610935843e-22,680
9,6,22,3.915880495235468e-10,4.110143925857104e-22,637
