# mesh name: dosimeterMesh
# primitive scorer name: doseDepGamma
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,3,4,5.310319915020184e-18,2.279047413934387e-35,2
0,3,5,0,0,0
0,3,6,7.836733535869555e-19,6.141439251222253e-37,1
0,3,7,7.836733535869555e-19,6.141439251222253e-37,1
0,3,8,6.070180971695448e-18,1.848145144482231e-35,2
0,3,9,2.850367481073651e-18,8.124594777162151e-36,1
0,3,10,1.902616922278584e-17,6.937267908385275e-35,7
0,3,11,9.712218473229394e-18,2.726795749683198e-35,4
0,3,12,1.936437309305461e-18,3.749789452870174e-36,1
0,3,13,0,0,0
0,3,14,4.829275976661937e-18,1.187292299310698e-35,2
0,3,15,2.047857534407275e-18,2.830827993586422e-36,2
0,3,16,1.096023161659474e-17,3.033930601042026e-35,4
0,3,17,5.074151686694337e-18,1.103455939382413e-35,3
0,3,18,7.625443826705211e-18,1.849686092129712e-35,4
0,3,19,3.914279582643975e-18,8.892599437969045e-36,3
0,3,20,2.267854725278175e-18,5.143165054966549e-36,1
0,3,21,1.359364337852469e-17,3.676293802743442e-35,7
0,3,22,1.171351763606302e-17,4.352754171837537e-35,4
0,3,23,4.649439823866026e-18,1.267405585572652e-35,3
0,3,24,4.29483925753901e-18,7.589793615504005e-36,3
0,3,25,8.438438292161065e-18,2.24939692316228e-35,4
0,3,26,1.157521320678373e-17,4.32746977892849e-35,4
0,3,27,2.496843723788872e-17,7.273097559047404e-35,11
0,3,28,5.62307844162179e-18,1.310046865132899e-35,3
0,3,29,2.850367481073651e-18,8.124594777162151e-36,1
0,3,30,1.076706768567658e-18,5.81729273534677e-37,2
0,3,31,4.406163447208295e-18,8.234923391282868e-36,3
0,3,32,5.706066073396188e-19,3.2559190033963e-37,1
0,3,33,0,0,0
0,3,34,2.864939185153959e-18,8.207876534630628e-36,1
0,3,35,3.20524178654149e-18,1.027357491019168e-35,1
0,3,36,7.836733535869555e-19,6.141439251222253e-37,1
0,3,37,1.197545290209184e-18,5.266880756773652e-37,3
0,3,38,5.272291321444769e-18,1.717991095036295e-35,3
0,3,39,2.66022451319654e-19,7.076794460611767e-38,1
0,4,0,0,0,0
