# mesh name: dosimeterMesh
# primitive scorer name: doseDep
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
9,3,30,1.789424187868552e-11,4.0041817914271e-25,5363
9,3,31,1.655479899392184e-11,3.967027712867417e-25,4712
9,3,32,1.573812810221204e-11,6.051346633273113e-25,4205
9,3,33,1.270873196532061e-11,2.749686449226016e-25,3748
9,3,34,1.042127773101593e-11,2.171077967936244e-25,3429
9,3,35,9.906370248264087e-12,2.575135246724893e-25,2961
9,3,36,6.935264913345023e-12,1.723533346260048e-25,1535
9,3,37,2.214188095820776e-12,8.446745990677931e-26,398
9,3,38,1.869362086416874e-12,1.166677276729836e-24,4
9,3,39,2.211638805873899e-12,2.171420773850341e-25,146
9,4,0,5.672952991367811e-12,1.627861633920281e-24,221
9,4,1,1.417094134300549e-11,1.698451210526188e-23,19
9,4,2,1.280675347393891e-11,2.659601058252628e-24,604
9,4,3,4.260695000348513e-11,8.318898923305285e-24,1949
9,4,4,1.287413461413668e-10,3.100208780127639e-23,5675
9,4,5,4.804434326776408e-10,2.736004046828895e-22,9501
9,4,6,7.49986349174984e-10,7.038594356971787e-22,5955
9,4,7,8.500466262784476e-10,6.995516901164318e-22,6517
9,4,8,1.049496731026911e-09,1.150701924574947e-21,7213
9,4,9,1.259415045641664e-09,1.085748241955222e-21,8258
9,4,10,1.616303764230611e-09,1.426484781731998e-21,9674
9,4,11,2.038986008236116e-09,1.840281016301145e-21,10956
9,4,12,2.581184859716659e-09,2.116612568191393e-21,12485
9,4,13,3.05102722066529e-09,2.387150661529715e-21,14148
9,4,14,3.475044682451876e-09,3.077729214124497e-21,15610
9,4,15,3.753822011663156e-09,3.414288242568724e-21,16653
9,4,16,4.003247082948572e-09,3.39121466469766e-21,17699
9,4,17,4.215148162556912e-09,3.680122506053213e-21,18450
9,4,18,4.623448606558427e-09,3.867312415500281e-21,19518
9,4,19,5.160136781898968e-09,4.62446942319893e-21,21737
9,4,20,5.920734399412399e-09,5.618967604876727e-21,23193
9,4,21,6.648269058004905e-09,6.506111741250403e-21,28092
9,4,22,6.910476937285062e-09,6.440906141409642e-21,36078
