# mesh name: dosimeterMesh
# primitive scorer name: doseDepAll
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,1,10,1.276811111047127e-13,1.836878885602771e-27,48
0,1,11,2.339830184675944e-13,9.771904520336856e-27,50
0,1,12,1.34758285657373e-13,5.109907887448874e-27,37
0,1,13,9.387097522820042e-14,6.582814612610976e-28,41
0,1,14,2.245318338550665e-13,5.117868424539107e-27,53
0,1,15,2.157310622773931e-13,1.152781324011645e-26,54
0,1,16,1.584561947645116e-13,2.128030295383206e-27,54
0,1,17,3.571158323968855e-13,1.517342233821563e-26,64
0,1,18,4.512572504210119e-13,2.686557088646173e-26,68
0,1,19,2.173977906060114e-13,5.787643998855053e-27,60
0,1,20,2.223202556106199e-13,1.13733558810172e-26,53
0,1,21,2.468661789220753e-13,1.155935544583533e-26,60
0,1,22,3.225475476923944e-13,1.358239370225094e-26,63
0,1,23,3.043854583480033e-13,2.915178577260895e-26,60
0,1,24,2.200198667158436e-13,5.421841941486024e-27,63
0,1,25,2.270711344695427e-13,6.860857541768079e-27,46
0,1,26,2.533477158370003e-13,8.942324570250019e-27,48
0,1,27,2.33045616272299e-13,4.727011223334112e-27,57
0,1,28,4.875982293311245e-14,3.19058339097648e-28,32
0,1,29,2.28961727479169e-13,6.325252748022857e-27,51
0,1,30,9.783989556810679e-14,1.516056752428038e-27,32
0,1,31,1.339143592999488e-13,4.01723886858503e-27,31
0,1,32,1.262934426356806e-13,1.26619496002773e-27,44
0,1,33,1.064676132596204e-13,3.844241066759509e-27,29
0,1,34,9.229107865719818e-14,1.714183580856349e-27,22
0,1,35,2.231135401500807e-13,8.382347861037314e-27,27
0,1,36,1.397693727197387e-13,5.788673670098299e-27,34
0,1,37,2.086637285468647e-14,4.724810661204912e-29,24
0,1,38,2.609258920771098e-14,4.154958236119953e-29,26
0,1,39,2.766080693632191e-14,2.943032350114182e-28,10
0,2,0,6.68107977908144e-14,7.493655914765371e-28,24
0,2,1,2.937967850082696e-13,5.007341092343761e-26,47
0,2,2,3.001413354432031e-14,6.80286797317118e-29,32
0,2,3,1.407098853441279e-13,4.175532262785244e-27,22
0,2,4,7.813793043753368e-14,2.596235581982882e-27,20
0,2,5,2.962810044975486e-14,2.851409055751431e-28,20
0,2,6,8.988649175714469e-14,1.192443202549237e-27,28
0,2,7,1.080235093636877e-13,2.511013067513002e-27,26
0,2,8,5.901317277474065e-13,2.513242313655501e-25,40
0,2,9,6.592364573769058e-14,7.392791971862233e-28,34
0,2,10,7.856982502208106e-14,9.490493137147515e-28,41
0,2,11,1.637411448175365e-13,6.532881160316941e-27,41
0,2,12,7.245832235745789e-14,1.229313015709085e-27,28
0,2,13,8.571173266158832e-14,1.622480762974246e-27,30
0,2,14,1.380618968436197e-13,3.503150453180729e-27,37
0,2,15,2.584513792909679e-13,2.069904646455146e-26,40
0,2,16,1.298099960684326e-13,2.230962806735006e-27,42
0,2,17,3.109950493466041e-13,1.904400622204317e-26,44
0,2,18,1.456026034257403e-13,9.213566397748749e-27,35
0,2,19,1.752096347878821e-13,6.76069588973713e-27,52
0,2,20,4.34232796821587e-13,6.875599611060578e-26,30
0,2,21,2.316207365912234e-13,5.783821373777565e-27,46
0,2,22,4.273479335127007e-13,3.82458970009311e-26,52
0,2,23,4.690971235356892e-13,5.48510076349389e-26,54
0,2,24,2.369442352241714e-13,9.206837411661385e-27,53
0,2,25,2.293913984894246e-13,5.814788515957999e-27,46
0,2,26,2.573890531298024e-13,5.919798631073534e-27,49
0,2,27,1.690383251668909e-13,4.193890705890288e-27,45
0,2,28,2.444690757992897e-13,1.523835269972936e-26,34
0,2,29,1.614986860409521e-13,4.069324649569531e-27,28
0,2,30,2.915749822942737e-14,1.140618868647184e-28,24
0,2,31,1.156631874292343e-13,5.855780169505874e-27,25
0,2,32,7.370457268695615e-14,1.117062767417325e-27,27
0,2,33,5.98414405752864e-14,7.944225277355871e-28,24
0,2,34,1.353460897765273e-13,3.335840344929263e-27,28
0,2,35,3.642543480367134e-14,3.05272373903165e-28,17
0,2,36,8.911715371288926e-14,2.208416089357183e-27,17
0,2,37,3.793973438611724e-14,1.324490819483171e-28,31
0,2,38,7.575935967179059e-14,6.537341798738737e-28,35
0,2,39,3.255524309565299e-14,2.702843930070832e-28,9
0,3,0,1.003252590180495e-13,2.462809198193906e-27,24
0,3,1,8.727728120598555e-14,5.564480318263818e-28,37
0,3,2,3.265619635204243e-14,1.155686205638202e-28,26
0,3,3,6.800627694960085e-15,1.012674113189585e-29,9
0,3,4,7.198042267917819e-14,2.468049016683481e-27,16
0,3,5,2.981724174542455e-14,4.128974007275021e-28,8
0,3,6,2.513668775211386e-14,2.498558791894413e-28,10
0,3,7,2.656894324514001e-14,1.493208797284128e-28,17
0,3,8,3.632246820302538e-14,3.60422845252454e-28,16
0,3,9,9.710429090083175e-14,3.043894175216118e-27,22
0,3,10,7.996519908983092e-14,1.047397002151429e-27,24
0,3,11,6.896572056691629e-14,9.916779641167918e-28,15
0,3,12,2.083560051839827e-14,1.475369265012034e-28,11
0,3,13,9.808764419677049e-14,2.455300352165171e-27,19
0,3,14,1.216149430599636e-13,2.164720294583947e-27,23
0,3,15,1.074173117381297e-13,1.7274173508752e-27,24
0,3,16,6.262180050884105e-14,1.352900040305891e-27,23
0,3,17,1.561123048112189e-13,5.641068892942476e-27,26
0,3,18,6.981479643066387e-14,6.452706818820865e-28,23
0,3,19,1.679992769828979e-13,4.398949005453995e-27,23
0,3,20,9.1716387605466e-14,1.085927830030081e-27,32
0,3,21,4.191977845565794e-13,2.223396335812207e-26,42
0,3,22,4.538697563187691e-13,3.56015975250583e-26,46
0,3,23,4.596745043239034e-13,3.307673835915464e-26,41
0,3,24,2.84579098862108e-13,8.226701979604619e-27,34
0,3,25,2.632431369472918e-13,2.644301086273964e-26,28
0,3,26,1.387981890858636e-13,3.520993533107817e-27,24
0,3,27,3.149132016808974e-13,3.100174589362265e-26,21
0,3,28,8.140805509343655e-14,2.674302808437842e-27,18
0,3,29,1.500634663483098e-13,7.158506143567089e-27,12
0,3,30,1.985644657137164e-13,2.048574321117179e-26,12
0,3,31,1.635979194672293e-13,7.258732042019479e-27,21
0,3,32,1.12452395199108e-13,2.917255379965348e-27,20
0,3,33,8.964296746636027e-14,1.452531128874139e-27,19
0,3,34,5.154674126743097e-14,9.885524523501322e-28,12
0,3,35,1.898582728001426e-14,1.140403286914382e-28,12
0,3,36,6.812956689939587e-14,4.034212293222118e-27,8
0,3,37,7.727148854406558e-14,1.034004744441553e-27,28
0,3,38,1.000730261247917e-13,1.668616584876453e-27,44
0,3,39,4.316369133423329e-14,2.404185018243257e-28,19
0,4,0,2.730655729202636e-13,4.881047269365542e-26,18
0,4,1,8.646222310299573e-14,4.989943067140993e-28,43
0,4,2,4.907560255958972e-14,2.716802368449484e-28,36
0,4,3,6.235610873973593e-14,1.132176250953583e-27,19
0,4,4,4.228776030637938e-14,7.143040437825777e-28,14
0,4,5,6.314329794894863e-14,8.759508509432864e-28,15
0,4,6,8.566366863981079e-14,1.601254767212888e-27,20
0,4,7,1.623034892210434e-13,6.178489136567567e-27,27
0,4,8,9.363495986710096e-14,1.791311655479807e-27,23
0,4,9,5.654886871173452e-14,5.180990170269379e-28,25
0,4,10,2.661137442879378e-13,1.116657333139994e-26,30
0,4,11,3.089772372605015e-13,1.77110431663998e-26,27
0,4,12,8.10731256236559e-14,1.204141991562539e-27,29
0,4,13,2.597599062872648e-13,7.404103987195496e-27,39
0,4,14,3.499206436387412e-13,2.035383982452586e-26,39
0,4,15,2.925282716553221e-13,7.751555090682535e-27,35
0,4,16,3.220333446106535e-13,1.39795249263711e-26,42
0,4,17,2.628891824370334e-13,6.879279405023795e-27,37
0,4,18,2.762539495478449e-13,1.291337734959005e-26,37
0,4,19,2.863419021927585e-13,7.841937332946298e-27,46
0,4,20,2.916614819548559e-13,9.128178297148219e-27,53
0,4,21,2.540662992916129e-13,8.625107064276352e-27,60
0,4,22,2.403493604582831e-13,6.760182098711189e-27,50
0,4,23,5.853035537857643e-13,4.168446278080926e-26,65
0,4,24,3.221659588502207e-13,1.167029327700559e-26,44
0,4,25,1.892072046942235e-13,4.65982744651475e-27,34
0,4,26,3.663794570287238e-13,1.060358266021972e-26,50
0,4,27,2.827583313417433e-13,1.539636719756826e-26,34
0,4,28,4.650033459362706e-13,2.363202319355092e-26,31
0,4,29,3.414965990827867e-13,1.671160302805415e-26,31
0,4,30,2.883004218829594e-13,1.691023095724028e-26,26
0,4,31,2.451748289107894e-13,7.325315695390777e-27,23
0,4,32,6.125473872568571e-14,7.928250096138072e-28,19
0,4,33,6.781556749785065e-14,1.100383210081487e-27,23
0,4,34,1.266750898287883e-13,2.85910726608066e-27,25
0,4,35,2.40291419838023e-13,1.787299732349281e-26,24
0,4,36,8.285266194031541e-14,1.248574925118765e-27,19
0,4,37,2.463420699104898e-13,7.51826991407197e-27,41
0,4,38,1.865692910433757e-13,5.361044057092434e-27,58
0,4,39,4.134389729711166e-14,3.3906774420713e-28,13
0,5,0,1.357956858438347e-13,4.539258303777863e-27,23
0,5,1,2.517220491535278e-13,6.997805037736805e-27,59
0,5,2,3.057077164844953e-13,1.938654666408616e-26,42
0,5,3,1.091920314187752e-13,1.396808594049436e-27,40
0,5,4,2.150932196017973e-13,5.835941913843652e-27,32
0,5,5,5.114772918890432e-13,3.083603231480148e-26,49
0,5,6,2.438159289717168e-13,6.977952499645215e-27,44
0,5,7,5.426189179604226e-13,3.129187485353185e-26,55
0,5,8,4.16673430774918e-13,2.743475397653681e-26,60
0,5,9,7.040158455583569e-13,4.193716200859113e-26,71
0,5,10,4.189703013486128e-13,1.578958965268679e-26,64
0,5,11,6.555657115591404e-13,5.810459550488076e-26,54
0,5,12,5.140575823687099e-13,1.955602531235133e-26,71
0,5,13,5.874185491074624e-13,2.875860298472239e-26,67
0,5,14,5.653531656906003e-13,2.763044629048236e-26,70
0,5,15,7.564305086382963e-13,2.698641578875383e-26,83
0,5,16,8.941090196508251e-13,4.061350981316361e-26,98
0,5,17,7.720310116419956e-13,3.046626980390685e-26,106
0,5,18,9.757195199262352e-13,6.382304813241293e-26,92
0,5,19,9.319151243326831e-13,4.853072858865353e-26,87
0,5,20,8.060037766306191e-13,4.604588854529141e-26,106
0,5,21,6.017970749470291e-13,1.96966017010331e-26,117
0,5,22,1.041813031541029e-12,6.324549388091309e-26,115
0,5,23,1.271256211884758e-12,8.299122040177552e-26,122
0,5,24,1.267222787257427e-12,1.037090035672509e-25,95
0,5,25,5.768517469490424e-13,1.654328388580991e-26,93
0,5,26,4.576245974784261e-13,1.095942896522463e-26,86
0,5,27,6.096691470738166e-13,2.053815990164107e-26,68
0,5,28,4.130722496651649e-13,2.354907642218541e-26,59
0,5,29,4.068983320118485e-13,1.447046605965327e-26,57
0,5,30,3.759283981174986e-13,1.182132267894862e-26,59
0,5,31,3.276638608171675e-13,1.967862734439823e-26,42
0,5,32,3.215716306056139e-13,1.024884858268513e-26,49
0,5,33,3.447804109581754e-13,2.033390249662999e-26,49
0,5,34,3.762747801718749e-13,1.608847788694143e-26,44
0,5,35,2.958871062985464e-13,1.741262786171124e-26,31
0,5,36,1.784715661976343e-13,1.080118878647494e-26,31
0,5,37,2.449611782719575e-13,1.20775545849352e-26,39
0,5,38,3.308388247228447e-13,2.132866705196904e-26,50
0,5,39,3.115261982893056e-14,3.12171243864126e-28,11
0,6,0,1.187602810317257e-12,5.699088184205525e-25,31
0,6,1,1.086209693210374e-12,6.589798470882282e-25,70
0,6,2,4.012157687468684e-13,2.487391736370914e-26,64
0,6,3,2.580248687817659e-13,6.75356476464723e-27,49
