# mesh name: dosimeterMesh
# primitive scorer name: nOfTrackNeutron
# iX, iY, iZ, total(value) , total(val^2), entry
0,8,37,11,19,7
0,8,38,7,13,4
0,8,39,0,0,0
0,9,0,0,0,0
0,9,1,0,0,0
0,9,2,0,0,0
0,9,3,6,20,2
0,9,4,12,34,5
0,9,5,12,32,5
0,9,6,12,48,4
0,9,7,10,18,6
0,9,8,6,12,3
0,9,9,12,36,6
0,9,10,14,30,7
0,9,11,19,45,9
0,9,12,31,149,11
0,9,13,16,30,9
0,9,14,18,50,8
0,9,15,15,37,7
0,9,16,22,44,11
0,9,17,40,88,20
0,9,18,44,550,11
0,9,19,29,119,11
0,9,20,47,209,21
0,9,21,40,132,17
0,9,22,41,135,18
0,9,23,45,175,17
0,9,24,51,279,19
0,9,25,39,133,15
0,9,26,28,62,14
0,9,27,37,125,17
0,9,28,29,99,11
0,9,29,48,444,11
0,9,30,29,135,12
0,9,31,9,25,4
0,9,32,11,19,7
0,9,33,10,20,6
0,9,34,26,96,10
0,9,35,15,35,8
0,9,36,23,83,9
0,9,37,13,27,7
0,9,38,16,30,9
0,9,39,0,0,0
0,10,0,0,0,0
0,10,1,0,0,0
0,10,2,12,40,4
0,10,3,5,13,2
0,10,4,4,16,1
0,10,5,4,16,1
0,10,6,15,37,7
0,10,7,11,21,6
0,10,8,20,74,8
0,10,9,8,24,3
0,10,10,25,83,9
0,10,11,10,18,6
0,10,12,27,145,8
0,10,13,24,64,10
0,10,14,25,147,9
0,10,15,21,73,8
0,10,16,9,23,5
0,10,17,27,173,10
0,10,18,21,63,10
0,10,19,36,218,14
0,10,20,42,158,15
0,10,21,33,71,18
0,10,22,49,185,21
0,10,23,49,217,17
0,10,24,24,158,6
0,10,25,30,102,11
0,10,26,23,51,12
0,10,27,37,135,15
0,10,28,17,41,8
0,10,29,42,242,12
0,10,30,20,50,9
0,10,31,24,52,12
0,10,32,25,59,12
0,10,33,30,66,15
0,10,34,20,62,9
0,10,35,15,31,8
0,10,36,20,62,8
0,10,37,20,48,9
0,10,38,19,79,7
0,10,39,0,0,0
0,11,0,0,0,0
0,11,1,2,4,1
0,11,2,0,0,0
0,11,3,0,0,0
0,11,4,5,7,4
0,11,5,13,49,5
0,11,6,12,56,3
0,11,7,11,27,6
0,11,8,12,72,3
0,11,9,13,37,5
0,11,10,39,157,15
0,11,11,17,41,8
0,11,12,14,42,6
0,11,13,17,49,7
0,11,14,22,144,7
0,11,15,22,58,10
0,11,16,35,139,14
0,11,17,26,94,10
0,11,18,17,37,8
0,11,19,23,61,10
0,11,20,39,233,12
0,11,21,25,169,8
0,11,22,35,91,16
0,11,23,35,111,14
0,11,24,27,61,13
0,11,25,30,110,12
0,11,26,28,124,11
0,11,27,32,120,13
0,11,28,11,21,6
0,11,29,24,52,12
0,11,30,18,46,8
0,11,31,18,44,8
0,11,32,7,17,3
0,11,33,11,21,6
0,11,34,16,38,8
0,11,35,12,24,6
0,11,36,17,57,7
0,11,37,20,62,9
0,11,38,24,134,5
0,11,39,0,0,0
0,12,0,9,41,2
0,12,1,7,13,4
0,12,2,1,1,1
0,12,3,3,9,1
0,12,4,6,12,3
0,12,5,5,9,3
0,12,6,7,13,4
0,12,7,13,59,5
0,12,8,21,79,8
0,12,9,11,37,4
0,12,10,31,131,11
0,12,11,5,9,3
0,12,12,12,28,7
0,12,13,24,54,12
0,12,14,14,26,8
0,12,15,13,25,7
0,12,16,29,149,8
0,12,17,14,36,6
0,12,18,14,42,6
0,12,19,16,30,9
0,12,20,29,57,15
0,12,21,20,50,9
0,12,22,20,38,11
0,12,23,20,46,10
0,12,24,38,198,12
0,12,25,54,240,18
0,12,26,13,23,8
0,12,27,10,20,5
0,12,28,20,44,11
0,12,29,25,81,12
0,12,30,23,97,8
0,12,31,8,16,4
0,12,32,15,29,9
0,12,33,29,141,10
0,12,34,20,62,9
0,12,35,19,109,4
0,12,36,15,45,6
0,12,37,5,9,3
0,12,38,14,36,6
0,12,39,0,0,0
0,13,0,4,16,1
0,13,1,1,1,1
0,13,2,4,8,2
0,13,3,6,12,3
0,13,4,0,0,0
0,13,5,2,4,1
0,13,6,10,20,5
0,13,7,10,20,5
0,13,8,8,22,4
0,13,9,14,148,2
0,13,10,20,174,4
0,13,11,16,44,8
0,13,12,9,19,5
0,13,13,12,48,5
